Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,G+A,CrdR,PrgC,SoT%,KP,Touches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24.0,2000.0,3,1,86,0,0,0,0,1,29.907323340471095,0,73
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24.0,2000.0,4,1,120,0,0,0,0,0,29.907323340471095,1,85
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21.0,2003.0,1,1,65,0,0,0,0,3,0.0,0,36
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20.0,2004.0,6,0,88,0,0,0,0,3,0.0,0,65
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18.0,2006.0,1,0,3,0,0,0,0,1,29.907323340471095,0,4
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36.0,1987.0,16,11,1033,0,0,0,0,4,50.0,2,641
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24.0,1999.0,32,32,2842,6,1,7,0,107,22.9,39,1993
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25.0,1999.0,12,10,855,0,0,0,0,6,29.907323340471095,0,635
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30.0,1993.0,25,17,1393,5,2,7,0,35,37.9,20,886
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,1999.0,4,2,205,0,1,1,0,6,0.0,2,157
11,Abel,es ESP,DF,Osasuna,es La Liga,23.0,2000.0,35,20,2074,2,0,2,0,50,33.3,16,1322
12,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21.0,2002.0,7,4,263,0,0,0,0,2,0.0,1,87
13,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28.0,1996.0,1,0,7,0,0,0,0,0,29.907323340471095,0,2
14,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21.0,2003.0,34,33,2768,9,2,11,0,75,35.6,27,878
15,Abner,br BRA,DF,Lyon,fr Ligue 1,24.0,2000.0,19,12,1090,1,1,2,0,31,42.9,11,791
16,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24.0,2000.0,26,22,1901,7,2,9,0,34,41.9,12,613
17,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25.0,1999.0,29,29,2463,0,1,1,0,16,8.3,8,1251
18,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26.0,1997.0,1,0,1,0,0,0,0,0,29.907323340471095,0,4
19,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26.0,1997.0,28,12,1183,3,4,7,0,8,42.3,14,367
20,Federico Accornero,it ITA,MF,Genoa,it Serie A,20.0,2004.0,1,0,5,0,0,0,0,0,29.907323340471095,0,8
21,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36.0,1988.0,23,20,1710,0,1,1,0,19,20.0,9,1484
22,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18.0,2006.0,4,2,170,0,0,0,0,0,0.0,0,137
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,24.0,2000.0,4,1,134,0,0,0,0,0,50.0,0,34
24,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24.0,2000.0,15,13,1075,3,1,4,0,11,46.2,12,251
25,Che Adams,sct SCO,FW,Torino,it Serie A,28.0,1996.0,36,30,2652,9,3,12,0,23,39.7,26,802
26,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25.0,1999.0,28,21,1965,0,3,3,0,14,22.2,18,1337
27,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23.0,2001.0,25,19,1545,2,2,4,1,8,30.6,17,534
28,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26.0,1997.0,22,15,1409,1,1,2,0,5,15.4,1,1330
29,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20.0,2003.0,1,0,26,0,0,0,0,1,29.907323340471095,0,14
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22.0,2002.0,25,17,1433,7,6,13,0,68,39.1,28,636
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22.0,2002.0,29,12,1097,2,2,4,0,50,24.2,16,548
32,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24.0,2000.0,20,6,766,2,0,2,0,37,35.0,11,468
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24.0,2000.0,25,14,1219,4,6,10,1,24,35.7,23,1021
34,Adrián,es ESP,GK,Betis,es La Liga,37.0,1987.0,19,19,1710,0,0,0,0,0,29.907323340471095,0,658
35,Adryelson,br BRA,DF,Lyon,fr Ligue 1,26.0,1998.0,1,0,1,0,0,0,0,0,29.907323340471095,0,5
36,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18.0,2006.0,6,0,42,0,0,0,0,0,100.0,0,24
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27.0,1997.0,14,9,724,0,0,0,0,8,50.0,8,485
38,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26.0,1998.0,32,17,1639,3,1,4,0,53,34.2,21,741
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27.0,1997.0,16,16,1410,1,0,1,0,6,28.6,4,1172
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27.0,1997.0,14,14,1260,0,0,0,0,10,20.0,8,1080
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,18.0,2005.0,2,0,6,0,0,0,0,2,0.0,1,8
42,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,18.0,2005.0,8,1,300,1,0,1,0,13,66.7,3,131
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23.0,2000.0,14,14,1206,0,0,0,1,0,29.907323340471095,0,437
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22.0,2002.0,35,24,2114,1,3,4,1,29,20.0,27,1481
45,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,24.0,1999.0,22,21,1751,3,0,3,0,33,44.4,20,1045
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28.0,1996.0,16,4,443,0,1,1,0,15,10.0,4,303
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,21.0,2002.0,2,0,5,0,0,0,0,0,29.907323340471095,0,3
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28.0,1996.0,21,21,1760,0,0,0,0,26,33.3,5,1594
49,Ruben Aguilar,fr FRA,"DF,MF",Lens,fr Ligue 1,31.0,1993.0,16,13,1124,1,2,3,0,32,27.3,11,996
50,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,22.0,2002.0,3,0,58,0,0,0,0,2,0.0,0,31
51,Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,16.0,2008.0,6,3,270,0,0,0,0,3,33.3,2,106
52,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,22.0,2001.0,5,0,43,0,0,0,0,1,29.907323340471095,0,22
53,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30.0,1994.0,26,26,1959,2,0,2,0,15,25.9,10,1032
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,28.0,1995.0,8,6,583,0,0,0,0,1,0.0,0,431
55,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28.0,1995.0,1,0,2,0,0,0,0,0,29.907323340471095,0,8
56,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19.0,2005.0,5,1,127,0,0,0,0,4,33.3,1,48
57,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27.0,1996.0,35,35,2995,2,1,3,0,67,18.2,16,1708
58,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23.0,2001.0,37,37,3109,4,7,11,1,89,27.8,46,2148
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,19.0,2004.0,2,0,13,0,0,0,0,0,29.907323340471095,0,5
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26.0,1998.0,24,17,1438,0,0,0,0,27,33.3,8,795
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30.0,1994.0,31,29,2495,13,2,15,0,10,47.2,35,914
62,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29.0,1995.0,26,23,2014,0,0,0,0,46,13.3,9,1881
63,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,20.0,2003.0,9,6,500,0,0,0,0,4,0.0,2,400
64,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29.0,1995.0,10,8,678,0,0,0,0,12,0.0,1,596
65,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20.0,2004.0,11,7,584,1,0,1,0,30,35.3,9,293
66,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,26.0,1997.0,30,29,2523,2,3,5,0,55,26.9,21,1436
67,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22.0,2002.0,32,27,2406,5,10,15,0,127,27.9,49,1566
68,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,26.0,1997.0,2,0,19,0,0,0,0,0,29.907323340471095,0,18
69,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,22.0,2001.0,31,29,2486,0,1,1,0,27,16.7,8,1532
70,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,31.0,1992.0,14,12,966,0,0,0,0,21,50.0,3,505
71,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,22.0,2002.0,4,0,45,0,0,0,0,0,29.907323340471095,0,9
72,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29.0,1995.0,32,23,2220,0,0,0,0,14,20.0,7,1692
73,Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,28.0,1995.0,14,6,639,3,1,4,0,6,50.0,5,165
74,David Alaba,at AUT,DF,Real Madrid,es La Liga,32.0,1992.0,7,4,317,0,0,0,0,2,29.907323340471095,1,247
75,Ibrahim Alani,ng NGA,MF,Valladolid,es La Liga,18.0,2006.0,3,1,160,0,0,0,0,2,0.0,0,113
76,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,34.0,1990.0,14,0,62,1,0,1,0,1,33.3,2,44
77,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,38.0,1985.0,15,14,1188,0,0,0,0,3,0.0,0,915
78,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,21.0,2002.0,1,0,10,0,0,0,0,4,100.0,1,17
79,Carlos Alcaraz,ar ARG,"FW,MF",Everton,eng Premier League,21.0,2002.0,15,7,764,2,3,5,0,19,42.3,13,378
80,Omar Alderete,py PAR,DF,Getafe,es La Liga,27.0,1996.0,34,34,2971,1,0,1,0,25,26.3,11,1585
